ADM_SECT_C,SGG_NM,Total_Budget,Single_Parent,Low_IncomeSP,Welfare_Facility
11740,강동구,81097000 ,"2,343","2,930",14
11710,송파구,125750000 ,"3,355","3,488",30
11680,강남구,8600000 ,"2,696","1,982",16
11650,서초구,25250000 ,"2,062","1,214",10
11620,관악구,84205196 ,"2,530","3,266",31
11590,동작구,15795000 ,"1,971","1,852",29
11560,영등포구,32891000 ,"2,010","1,420",15
11545,금천구,113905900 ,"1,226","2,491",27
11530,구로구,253792100 ,"2,112","2,875",34
11500,강서구,148720000 ,"2,901","5,056",32
11470,양천구,46440000 ,"2,241","3,345",27
11440,마포구,176915500 ,"1,896","1,828",23
11410,서대문구,312957000 ,"1,613","2,037",16
11380,은평구,106100000 ,"2,376","4,330",28
11350,노원구,93679980 ,"2,565","5,071",21
11320,도봉구,48740000 ,"1,585","3,610",20
11305,강북구,51834820 ,"1,503","3,955",14
11290,성북구,81844520 ,"2,231","3,028",27
11260,중랑구,101806063 ,"1,969","4,909",23
11230,동대문구,84205196 ,"1,785","2,497",12
11215,광진구,38370000 ,"1,773","2,605",15
11200,성동구,31751320 ,"1,455","1,448",26
11170,용산구,48410000 ,"1,178","1,152",15
11140,중구,96370220 ,660,746,10
11110,종로구,63400000 ,768,693,14
